U36;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
995100;Head of State;Feng Guozhang;1903;1999;1999;PA;Resigned Generalissimo;High;9496;X
995101;Head of Government;Cao Kun;1885;1999;1999;PA;Political Protege;Very High;9531;X
995102;Foreign Minister;Feng Guozhang;1903;1999;1999;PA;General Staffer;High;9496;X
995103;Minister of Armament;Gao Enhong;1912;1999;1999;PA;Resource Industrialist;Medium;9534;X
995104;Minister of Security;Gao Lingwei;1910;1999;1999;PA;Compassionate Gentleman;Medium;9521;X
995105;Head of Military Intelligence;Cao Kun;1885;1999;1999;PA;Political Specialist;High;9531;X
995106;Chief of Staff;Zhang Shaozeng;1903;1999;1999;PA;School of Psychology;High;9526;X
995107;Chief of Army;Zhang Shaozeng;1903;1999;1999;PA;Decisive Battle Doctrine;Medium;9526;X
995108;Chief of Navy;Du Xigui;1911;1999;1999;PA;Decisive Naval Battle Doctrine;Medium;9535;X
995109;Head of State;Cao Kun;1885;1999;1999;PA;Autocratic Charmer;High;9531;X
995110;Head of Government;Gao Lingwei;1910;1999;1999;PA;Political Protege;Very High;9521;X
995111;Head of State;Wu Peifu;1902;1999;1999;PA;Resigned Generalissimo;High;9529;X
995112;Head of State;Sun Chuanfang;1901;1999;1999;PA;Autocratic Charmer;Medium;9536;X
995113;Chief of Army;Sun Chuanfang;1901;1999;1999;PA;Decisive Battle Doctrine;Low;9536;X
995114;Head of Government;Du Xigui;1911;1999;1999;PA;Old Admiral;High;9535;X
995115;Foreign Minister;Gao Lingwei;1910;1999;1999;PA;Biased Intellectual;High;9521;X
995116;Minister of Armament;Liu Enyuan;1895;1999;1999;PA;Military Entrepreneur;Medium;9537;X
995117;Minister of Armament;Wu Yulin;1895;1999;1999;PA;Battle Fleet Proponent;High;9538;X
995118;Minister of Armament;Gao Lingwei;1910;1999;1999;PA;Resource Industrialist;Medium;9521;X
995119;Minister of Armament;Zhang Yinghua;1918;1999;1999;PA;Administrative Genius;Medium;9539;X
995120;Minister of Security;Deng Xihou;1917;1999;1999;PA;Prince of Terror;Medium;9540;X
995121;Minister of Security;Wang Tan;1911;1999;1999;PA;Crime Fighter;Low;9532;X
995122;Head of Military Intelligence;Wu Peifu;1902;1999;1999;PA;Logistics Specialist;High;9529;X
995123;Chief of Staff;Wu Peifu;1902;1999;1999;PA;School of Manoeuvre;High;9529;X
995124;Chief of Army;Wu Peifu;1902;1999;1999;PA;Wu_Peifu;Medium;9529;X
995125;Chief of Staff;Wang Tan;1911;1999;1999;PA;School of Mass Combat;Medium;9532;X
995126;Chief of Army;Wang Tan;1911;1999;1999;PA;Guns and Butter Doctrine;Medium;9532;X
995127;Chief of Staff;Lu Jin;1912;1999;1999;PA;School of Defence;Medium;9533;X
995128;Chief of Army;Lu Jin;1912;1999;1999;PA;Static Defence Doctrine;High;9533;X
995129;Chief of Navy;Li Dingxin;1886;1928;1999;PA;Decisive Naval Battle Doctrine;High;9464;X
995130;Chief of Navy;Wu Yulin;1895;1944;1999;PA;Open Seas Doctrine;Medium;9538;X
995131;Chief of Air Force;Wu Peifu;1902;1999;1999;PA;Army Aviation Doctrine;Medium;9529;X
995132;Chief of Air Force;Wang Chengbin;1913;1938;1999;PA;Carpet Bombing Doctrine;Medium;9541;X
